Line,From,To,TTC_Capacity_2028
PJM_ATSI-MIS_LMI,PJM_ATSI,MIS_LMI,1262
PJM_COMD-MIS_IL,PJM_COMD,MIS_IL,3200
PJM_COMD-MIS_INKY,PJM_COMD,MIS_INKY,3840
PJM_COMD-MIS_MIDA,PJM_COMD,MIS_MIDA,2000
PJM_COMD-MIS_WUMS,PJM_COMD,MIS_WUMS,1200
PJM_Dom-S_VACA,PJM_Dom,S_VACA,1000
PJM_EMAC-NY_Z_G-I,PJM_EMAC,NY_Z_G-I,1000
PJM_EMAC-NY_Z_J,PJM_EMAC,NY_Z_J,660
PJM_EMAC-NY_Z_K,PJM_EMAC,NY_Z_K,660
PJM_PENE-NY_Z_A,PJM_PENE,NY_Z_A,550
PJM_PENE-NY_Z_C&E,PJM_PENE,NY_Z_C&E,900
PJM_West-MIS_INKY,PJM_West,MIS_INKY,5441
PJM_West-MIS_LMI,PJM_West,MIS_LMI,1400
PJM_West-S_C_KY,PJM_West,S_C_KY,1214
PJM_West-S_C_TVA,PJM_West,S_C_TVA,2119
PJM_West-S_VACA,PJM_West,S_VACA,1219
